,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MGAT3,11.476640913101662,-3.6552966866452232,0.6197006807196531,-5.898487447843947,3.66848868265875e-09,4.173353253192945e-07
GYPE,1.449124864657733,-4.433438898523284,0.7524382463478971,-5.892096687059473,3.8132593614002064e-09,4.3117563579177974e-07
AP000357.2,6.522483714808801,-4.808421351493928,0.8165723021137749,-5.888543291325059,3.896144942485317e-09,4.378938324816178e-07
PEAK1,8.023146464297142,-1.9203898197638665,0.3262791600207953,-5.885726258586271,3.9630980036979245e-09,4.427516135029472e-07
CCBE1,4.255164770989342,-2.955422098753684,0.5025473166636388,-5.880883253689293,4.080829347508074e-09,4.531906734312985e-07
PIP5K1B,7.375686425624493,-2.585285081258468,0.4399623663482833,-5.876150505136393,4.19916576629798e-09,4.635729923184699e-07
SSTR1,4.258782643144588,-3.1130415049978835,0.5302059984680407,-5.871381149954169,4.321793701158162e-09,4.7430414754416373e-07
SLIT2,13.696378827312072,-2.5009087948160187,0.4276438250832597,-5.848111554818093,4.9718509236600665e-09,5.424551034077536e-07
COX4I2,31.844111396623983,-2.813043110653684,0.482349667544782,-5.8319582243570585,5.478063594011535e-09,5.942106539155419e-07
GIMAP1,5.929218735569912,-2.1118776808569213,0.3623193454662962,-5.828774276844054,5.583596720167386e-09,6.021570173882249e-07
FHL1,50.87544083766964,-3.9000318803177607,0.6693650962051355,-5.826464365154986,5.661394868530919e-09,6.0703818426541e-07
B3GNT3,40.530599884094094,4.98354343844601,0.8557272889738696,5.823751915662219,5.7540972585543365e-09,6.134525288734186e-07
ADAMTSL3,3.4676140909170954,-2.7906603330327675,0.480875567403954,-5.803289919881717,6.502621162755121e-09,6.893147899631948e-07
SERTM1,3.5094180147683396,-6.873570388215347,1.1854554559790385,-5.798252775798003,6.700939629598226e-09,7.063244670588368e-07
SERINC2,165.20255363410845,1.940069886470097,0.3350201333899391,5.790905360938402,7.000801819572773e-09,7.337862895942092e-07
RNF144B,27.554042606033168,-2.1311640500545974,0.3681138678902135,-5.789415275955311,7.063187289263168e-09,7.361893031049325e-07
ANOS1,24.425242945906902,-3.304373038251303,0.5711866676315277,-5.785101833614494,7.246841583717229e-09,7.511351301522908e-07
MMP11,85.9233151804607,6.275375042701387,1.0875411060075664,5.77024170216305,7.915791210602034e-09,8.11495700886319e-07
CP,229.12821235605227,4.681083494570369,0.8112468236190473,5.7702333719935215,7.916182535311683e-09,8.11495700886319e-07
ETF1,85.04509197038603,-0.9543209362503547,0.16573891776110866,-5.7579773606696625,8.51277686156106e-09,8.678845787221022e-07
SESN1,14.370949918582271,-1.908327379752424,0.3317351823954245,-5.752562528859902,8.79007395740363e-09,8.912848359960844e-07
CXCL13,59.10301573879811,6.073110753482547,1.0563077415436992,5.749376355613222,8.95732298346476e-09,9.033339183919028e-07
SPAG4,25.67939589041316,3.7042714661629836,0.6452188416772119,5.74110863925475,9.405872151348064e-09,9.434696598263486e-07
HSD17B4,36.25207168640169,-1.1510566214999407,0.20059846743860707,-5.73811273933197,9.573738087104709e-09,9.551723609150403e-07
