,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TPM3,109.44001261755953,1.2074873936812742,0.2628790832021614,4.593318642825159,4.36252156918946e-06,0.0008056380540340324
PRKAR2B,75.52392302139098,-2.849827240172677,0.6216657242615197,-4.5841794536090985,4.557726857551539e-06,0.0008343038952928554
PNPLA2,98.46513322634519,-2.4724594950086485,0.5406122949639043,-4.573442960955466,4.797743323405245e-06,0.0008706026754158317
FN1,1463.666208852474,3.5757720760863,0.7832116693759749,4.565524513871585,4.982469654999757e-06,0.0008963291100046114
WDR86,2.9723278008680225,-2.4098991697251355,0.528507434107354,-4.559820759750411,5.119730054706774e-06,0.0009090281367637995
LEP,40.721032936375714,-6.72485528151148,1.4762212842739637,-4.555452053937092,5.22730383417941e-06,0.0009090281367637995
SEMA3G,28.633762413976584,-3.187210649267423,0.6991740645843212,-4.5585367231296114,5.151125847363656e-06,0.0009090281367637995
HPSE2,1.4928219952862147,-4.783057777608573,1.0498279976796954,-4.556039454253432,5.212714932515e-06,0.0009090281367637995
HCAR2,7.625566567749824,-3.393344175723184,0.7469027601152308,-4.543220827299748,5.540116092051111e-06,0.0009554639885034924
IL17B,2.0029132448839553,-3.261432310404629,0.7185920370062954,-4.538642431931175,5.6617547572769415e-06,0.0009684385104496328
AUXG01000058.1,2.719532432583054,-3.6493522553755198,0.8065616403869541,-4.524579489826364,6.051570566619308e-06,0.0010102733966736938
DDR2,25.028953038967597,-2.264032994466889,0.5003073974226383,-4.525283867738478,6.031449326102665e-06,0.0010102733966736938
SLC16A7,4.600904672610613,-3.3047764290282857,0.7300539636005371,-4.526756368432727,5.989592536557645e-06,0.0010102733966736938
HADH,23.804248875717064,-1.7866864303821512,0.39553418454426104,-4.517147948769059,6.267811409167599e-06,0.0010380689562421385
SOD3,34.66215024002172,-3.060539779201105,0.6794365599807385,-4.5045261904773986,6.652119390924965e-06,0.0010930427358253714
SYNE3,5.326352536635183,-2.664832721784086,0.5921106886718926,-4.500565135483907,6.777303244285778e-06,0.0010981868254797743
FFAR4,1.989921576059668,-2.8936543646553052,0.6430044763124441,-4.500208740769701,6.788676465731785e-06,0.0010981868254797743
KIT,22.22847221650445,-2.710576173608966,0.6027360172407439,-4.497119959775544,6.888012947943342e-06,0.0011056850322898589
MIR145,14.474864364784574,-4.12257454549112,0.9179473416644223,-4.49107956238107,7.086307162889704e-06,0.0011275601878549864
AP003555.2,1.315754732721471,-3.033294863236721,0.6756119160639474,-4.489700064659037,7.132353114666389e-06,0.0011275601878549864
GLDN,1.9757293929473851,-2.9429464387677076,0.6558580836013543,-4.487169575783559,7.217562642909036e-06,0.0011324518588889155
PALMD,18.73664959803126,-2.516007735550422,0.561275748281733,-4.482658912758706,7.371870808042899e-06,0.0011480313434495465
CAT,108.0818981201872,-1.8919257507368472,0.4240275217752187,-4.461799420038061,8.127428340550909e-06,0.0012201667238173838
PECR,12.027340159986645,-1.8726957803337603,0.4194914396719149,-4.4642049949777265,8.03665929223887e-06,0.0012201667238173838
MIR126,1.769586839579053,-3.5558506792836893,0.7960373052299798,-4.466939747574246,7.934646544865649e-06,0.0012201667238173838
